command,file,domain_id,domain,muster,stamm,rw,tables,ki,layers,vault,gl_refs,mvp,review,params,return
list_countries,commands.rs,D-1,Vokabulare & Lookups,CRUD,countries,R,lookup_country,0,0,0,,MVP,0,,"Result<Vec<LookupItem>, String>"
list_distinct_sub_kategorien,commands.rs,D-1,Vokabulare & Lookups,CRUD,distinct_sub_kategorien,R,lookup_produkttyp;wawi_gp_v2,0,0,0,,MVP,0,warengruppe: Option<String>,"Result<Vec<String>, String>"
list_einheiten,commands.rs,D-1,Vokabulare & Lookups,CRUD,einheiten,W,allergens;calc;ing_base;ing_costs;ing_nutri;ing_resolved;ing_tags;ings;lookup_unit;nutritional;prices;recipe_ingredients;recipes;sums;supplier_items;vocab_einheit;wawi_gp_count_unit_defaults;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,,"Result<Vec<VocabEinheit>, String>"
list_einheiten_vpe_const,commands.rs,D-1,Vokabulare & Lookups,CRUD,einheiten_vpe_const,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
list_food_domains,commands.rs,D-1,Vokabulare & Lookups,CRUD,food_domains,R,vocab_food_domain,0,0,0,,MVP,0,,"Result<Vec<FoodDomain>, String>"
list_formen_const,commands.rs,D-1,Vokabulare & Lookups,CRUD,formen_const,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
get_kuechen_typ,commands.rs,D-1,Vokabulare & Lookups,CRUD,kuechen_typ,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
set_kuechen_typ,commands.rs,D-1,Vokabulare & Lookups,CRUD,kuechen_typ,R,vocab_kuechen_typ,0,0,0,,MVP,0,slugs: Vec<String>,"Result<(), String>"
list_kuechen_typen,commands.rs,D-1,Vokabulare & Lookups,CRUD,kuechen_typen,R,vocab_kuechen_typ,0,0,0,,MVP,0,,"Result<Vec<crate::models::KuechenTyp>, String>"
list_languages,commands.rs,D-1,Vokabulare & Lookups,CRUD,languages,R,lookup_language,0,0,0,,MVP,0,,"Result<Vec<LookupItem>, String>"
merge_recipe_kategorien,commands.rs,D-1,Vokabulare & Lookups,Spezial,merge_recipe_kategorien,W,recipe_kategorien;recipes,0,0,0,,MVP,1,"source_id: i64, target_id: i64","Result<i64, String>"
list_niveaus,commands.rs,D-1,Vokabulare & Lookups,CRUD,niveaus,R,vocab_niveau,0,0,0,,MVP,0,,"Result<Vec<crate::models::NiveauVocab>, String>"
list_produkttypen,commands.rs,D-1,Vokabulare & Lookups,CRUD,produkttypen,R,lookup_recipe_typ;pairing_anker_edges;recipe_hauptgruppen;recipe_kategorien;recipes;vocab_pairing_anker,0,0,1,GL-13,MVP,0,warengruppe: String,"Result<Vec<String>, String>"
accept_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,KI-Lebenszyklus,recipe_kategorie,W,recipe_hauptgruppen;recipe_kategorien;recipes,0,0,0,GL-07,MVP,1,input: AcceptRecipeKategorieInput,"Result<i64, String>"
create_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorie,W,recipe_kategorien,0,0,0,,MVP,1,input: RecipeKategorieInput,"Result<i64, String>"
delete_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorie,W,recipe_kategorien;recipes,0,0,0,,MVP,1,kategorie_id: i64,"Result<(), String>"
update_recipe_kategorie,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorie,W,recipe_kategorien,0,0,0,,MVP,1,"kategorie_id: i64, input: RecipeKategorieInput","Result<(), String>"
list_recipe_kategorien,commands.rs,D-1,Vokabulare & Lookups,CRUD,recipe_kategorien,R,recipe_hauptgruppen;recipe_kategorien;recipes,0,0,0,,MVP,1,hauptgruppe_id: Option<i64>,"Result<Vec<RecipeKategorie>, String>"
rename_sub_kategorie,commands.rs,D-1,Vokabulare & Lookups,Spezial,rename_sub_kategorie,R,wawi_gp_v2,0,0,0,,MVP,0,"warengruppe: String, old_value: String, new_value: String","Result<i64, String>"
list_sektoren,commands.rs,D-1,Vokabulare & Lookups,CRUD,sektoren,R,vocab_sektor,0,0,0,,MVP,0,,"Result<Vec<crate::models::SektorVocab>, String>"
clear_sub_kategorie,commands.rs,D-1,Vokabulare & Lookups,KI-Lebenszyklus,sub_kategorie,R,wawi_gp_v2,0,0,0,GL-07,MVP,0,"warengruppe: String, value: String","Result<i64, String>"
list_sub_kategorien_overview,commands.rs,D-1,Vokabulare & Lookups,CRUD,sub_kategorien_overview,R,wawi_gp_v2,0,0,0,,MVP,0,warengruppe: Option<String>,"Result<Vec<SubKategorieRow>, String>"
list_verarbeitungen_const,commands.rs,D-1,Vokabulare & Lookups,CRUD,verarbeitungen_const,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
create_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,W,vocab_kochequipment,0,0,0,,MVP,1,"name: String, gruppe: Option<String>, sort_order: Option<i64>","Result<i64, String>"
delete_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,W,recipe_equipment;vocab_kochequipment,0,0,0,,MVP,1,vocab_id: i64,"Result<(), String>"
list_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,R,vocab_kochequipment,0,0,0,,MVP,1,include_inactive: bool,"Result<Vec<crate::models::VocabKochequipment>, String>"
update_vocab_kochequipment,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment,W,vocab_kochequipment,0,0,0,,MVP,1,"vocab_id: i64, name: String, gruppe: Option<String>, sort_order: Option<i64>","Result<(), String>"
set_vocab_kochequipment_inactive,commands.rs,D-1,Vokabulare & Lookups,CRUD,vocab_kochequipment_inactive,W,vocab_kochequipment,0,0,0,,MVP,1,"vocab_id: i64, inactive: bool","Result<(), String>"
list_zustaende_const,commands.rs,D-1,Vokabulare & Lookups,CRUD,zustaende_const,R,,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
add_stamm_lieferant,commands.rs,D-2,Lieferanten & LA,Spezial,add_stamm_lieferant,R,stamm_lieferant,0,0,0,,MVP,0,supplier_id: i64,"Result<(), String>"
apply_lead_la,commands.rs,D-2,Lieferanten & LA,Spezial,apply_lead_la,R,wawi_gp_v2,0,0,0,GL-03,MVP,0,gp_v2_id: i64,"Result<Option<i64>, String>"
bulk_delete_la,commands.rs,D-2,Lieferanten & LA,Spezial,bulk_delete_la,W,allergens;declarations;nutritional;prices;supplier_items;wawi_la_structured,0,0,0,,MVP,0,supplier_item_ids: Vec<i64>,"Result<i64, String>"
ai_bulk_match_phantoms_via_matrix,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,bulk_match_phantoms_via_matrix,W,ai_call_log;allergens;lookup_unit;stamm_lieferant_wg;supplier_items;suppliers;v_active_prices;wawi_gp_v2;wawi_la_structured,1,1,0,GL-06;GL-07,MVP,1,"limiter: State<GeminiRateLimiter>, min_score: Option<f64>, auto_accept: bool, limit: Option<i64>","Result<PhantomMatchResult, String>"
ai_bulk_match_unmapped_las,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,bulk_match_unmapped_las,W,ai_call_log;supplier_items;suppliers;wawi_gp_v2;wawi_la_structured,1,1,0,GL-06;GL-07,MVP,1,"limiter: State<GeminiRateLimiter>, limit: Option<i64>, auto_accept: bool, min_score: Option<f64>","Result<BulkLaMatchResult, String>"
bulk_set_la_discontinued,commands.rs,D-2,Lieferanten & LA,Spezial,bulk_set_la_discontinued,W,supplier_items,0,0,0,,MVP,0,"supplier_item_ids: Vec<i64>, is_discontinued: bool","Result<i64, String>"
bulk_set_la_gp,commands.rs,D-2,Lieferanten & LA,Spezial,bulk_set_la_gp,W,n_las_total;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,1,"supplier_item_ids: Vec<i64>, gp_v2_id: Option<i64>","Result<i64, String>"
db_info,commands.rs,D-2,Lieferanten & LA,Spezial,db_info,R,recipes;suppliers;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,1,,"Result<DbInfo, String>"
derive_stamm_lieferant_wg,commands.rs,D-2,Lieferanten & LA,Spezial,derive_stamm_lieferant_wg,R,stamm_lieferant_wg;supplier_items;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,supplier_id: i64,"Result<Vec<String>, String>"
detect_price_anomalies,commands.rs,D-2,Lieferanten & LA,Spezial,detect_price_anomalies,R,lookup_unit;supplier_items;suppliers;v_active_prices;wawi_gp_v2;wawi_la_structured,0,0,0,GL-11,MVP,0,"threshold_pct: Option<f64>, limit: Option<i64>","Result<Vec<PriceAnomaly>, String>"
accept_gp_la_suggestions,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,gp_la_suggestions,W,ai_call_log;wawi_gp_v2;wawi_la_structured,0,0,0,GL-07,MVP,1,input: AcceptGpLaSuggestInput,"Result<i64, String>"
set_gp_lead_la,commands.rs,D-2,Lieferanten & LA,CRUD,gp_lead_la,R,stamm_lieferant_wg;supplier_items;suppliers;v_active_prices;wawi_gp_v2;wawi_la_structured,0,0,0,GL-03,MVP,1,"gp_v2_id: i64, supplier_item_id: Option<i64>","Result<(), String>"
get_la_allergens,commands.rs,D-2,Lieferanten & LA,CRUD,la_allergens,R,allergens,0,0,0,GL-01,MVP,0,supplier_item_id: i64,"Result<LaAllergens, String>"
set_la_allergens,commands.rs,D-2,Lieferanten & LA,CRUD,la_allergens,W,allergens;wawi_la_structured,0,0,0,GL-01,MVP,0,"supplier_item_id: i64, input: LaAllergens","Result<(), String>"
get_la_declarations,commands.rs,D-2,Lieferanten & LA,CRUD,la_declarations,R,declarations,0,0,0,,MVP,0,supplier_item_id: i64,"Result<LaDeclarations, String>"
set_la_declarations,commands.rs,D-2,Lieferanten & LA,CRUD,la_declarations,W,declarations,0,0,0,,MVP,0,"supplier_item_id: i64, input: LaDeclarations","Result<(), String>"
set_la_gp_mapping,commands.rs,D-2,Lieferanten & LA,CRUD,la_gp_mapping,W,wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,1,"supplier_item_id: i64, gp_v2_id: Option<i64>, review_grund: Option<String>","Result<(), String>"
accept_la_gp_match,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,la_gp_match,W,ai_call_log;wawi_gp_v2;wawi_la_structured,0,0,0,GL-07,MVP,1,input: AcceptLaMatchInput,"Result<i64, String>"
reject_la_gp_match,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,la_gp_match,W,ai_call_log,0,0,0,GL-07,MVP,1,call_log_id: i64,"Result<(), String>"
create_la_price,commands.rs,D-2,Lieferanten & LA,CRUD,la_price,W,prices,0,0,0,GL-11,MVP,0,"supplier_item_id: i64, input: PriceInput","Result<i64, String>"
delete_la_price,commands.rs,D-2,Lieferanten & LA,CRUD,la_price,W,prices,0,0,0,GL-11,MVP,0,price_id: i64,"Result<(), String>"
update_la_price,commands.rs,D-2,Lieferanten & LA,CRUD,la_price,W,prices,0,0,0,GL-11,MVP,0,"price_id: i64, input: PriceInput","Result<(), String>"
get_la_prices,commands.rs,D-2,Lieferanten & LA,CRUD,la_prices,R,prices,0,0,0,GL-11,MVP,0,supplier_item_id: i64,"Result<Vec<PriceRow>, String>"
ai_match_la_to_gp,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,match_la_to_gp,R,supplier_items;suppliers,1,1,0,GL-05;GL-06;GL-07,MVP,1,"limiter: State<GeminiRateLimiter>, supplier_item_id: i64","Result<LaMatchSuggestion, String>"
ai_plausi_check_price,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,plausi_check_price,W,embedding;lookup_unit;recipe_niveau_eignung;recipes;scratch;supplier_items;suppliers;v_active_prices;vocab_sub_rezept_typ;wawi_gp_v2;wawi_la_structured,1,1,0,GL-06;GL-07;GL-11,MVP,0,"limiter: State<GeminiRateLimiter>, supplier_item_id: i64","Result<PricePlausiResult, String>"
ai_rank_las_for_term,commands.rs,D-2,Lieferanten & LA,KI-Lebenszyklus,rank_las_for_term,R,lookup_unit;stamm_lieferant;supplier_items;suppliers;v_active_prices;wawi_la_structured,1,1,0,GL-06;GL-07,MVP,1,"limiter: State<GeminiRateLimiter>, term: String","Result<TermLaSuggestion, String>"
recompute_all_lead_las,commands.rs,D-2,Lieferanten & LA,Spezial,recompute_all_lead_las,R,wawi_gp_v2;wawi_la_structured,0,0,0,GL-02;GL-03,MVP,1,,"Result<i64, String>"
remove_stamm_lieferant,commands.rs,D-2,Lieferanten & LA,Spezial,remove_stamm_lieferant,W,stamm_lieferant;stamm_lieferant_wg,0,0,0,,MVP,0,supplier_id: i64,"Result<(), String>"
set_stamm_lieferant_wg,commands.rs,D-2,Lieferanten & LA,CRUD,stamm_lieferant_wg,W,stamm_lieferant_wg,0,0,0,,MVP,0,"supplier_id: i64, warengruppe: String, covered: bool","Result<(), String>"
list_stamm_lieferanten,commands.rs,D-2,Lieferanten & LA,CRUD,stamm_lieferanten,R,lookup_supplier_type;stamm_lieferant;stamm_lieferant_wg;supplier_items;suppliers;wawi_la_structured,0,0,0,,MVP,0,,"Result<Vec<StammLieferantRow>, String>"
create_supplier,commands.rs,D-2,Lieferanten & LA,CRUD,supplier,W,suppliers,0,0,0,,MVP,0,input: SupplierInput,"Result<i64, String>"
get_supplier,commands.rs,D-2,Lieferanten & LA,CRUD,supplier,R,lookup_country;lookup_supplier_type;suppliers,0,0,0,,MVP,0,id: i64,"Result<SupplierDetail, String>"
update_supplier,commands.rs,D-2,Lieferanten & LA,CRUD,supplier,W,suppliers,0,0,0,,MVP,0,"id: i64, input: SupplierInput","Result<(), String>"
set_supplier_inactive,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_inactive,W,suppliers,0,0,0,,MVP,0,"id: i64, inactive: bool","Result<(), String>"
create_supplier_item,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_item,W,supplier_items,0,0,0,,MVP,0,input: SupplierItemInput,"Result<i64, String>"
delete_supplier_item,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_item,W,allergens;declarations;nutritional;prices;supplier_items;wawi_la_structured,0,0,0,,MVP,0,id: i64,"Result<(), String>"
get_supplier_item,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_item,R,lookup_unit;supplier_items;suppliers;v_active_prices;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,id: i64,"Result<SupplierItemDetail, String>"
update_supplier_item,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_item,W,supplier_items,0,0,0,,MVP,0,"id: i64, input: SupplierItemInput","Result<(), String>"
set_supplier_item_discontinued,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_item_discontinued,W,supplier_items,0,0,0,,MVP,0,"supplier_item_id: i64, is_discontinued: bool","Result<(), String>"
list_supplier_items,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_items,R,lookup_unit;supplier_items;v_active_prices;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,"supplier_id: i64, search: Option<String>, only_active: Option<bool>, limit: Option<i64>","Result<Vec<SupplierItemRow>, String>"
search_supplier_items_global,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_items_global,R,lookup_unit;stamm_lieferant;supplier_items;suppliers;v_active_prices;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,"query: String, only_active: Option<bool>, stamm_only: Option<bool>, limit: Option<i64>","Result<Vec<GlobalSupplierItemRow>, String>"
get_supplier_stamm,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_stamm,R,stamm_lieferant;stamm_lieferant_wg,0,0,0,,MVP,0,supplier_id: i64,"Result<SupplierStammInfo, String>"
list_supplier_types,commands.rs,D-2,Lieferanten & LA,CRUD,supplier_types,R,lookup_supplier_type,0,0,0,,MVP,0,,"Result<Vec<LookupItem>, String>"
list_suppliers,commands.rs,D-2,Lieferanten & LA,CRUD,suppliers,R,lookup_supplier_type;supplier_items;suppliers;wawi_la_structured,0,0,0,,MVP,0,include_inactive: Option<bool>,"Result<Vec<SupplierSummary>, String>"
unlink_la_from_gp,commands.rs,D-2,Lieferanten & LA,Spezial,unlink_la_from_gp,W,wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,1,supplier_item_id: i64,"Result<(), String>"
list_unmapped_las,commands.rs,D-2,Lieferanten & LA,CRUD,unmapped_las,R,supplier_items;suppliers;wawi_la_structured,0,0,0,,MVP,0,limit: Option<i64>,"Result<Vec<UnmappedLa>, String>"
create_derivat_gp,commands.rs,D-3,Grundprodukte,CRUD,derivat_gp,W,wawi_gp_v2,0,0,0,,MVP,0,input: CreateDerivatInput,"Result<i64, String>"
list_distinct_formen,commands.rs,D-3,Grundprodukte,CRUD,distinct_formen,R,wawi_gp_v2,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
list_distinct_verarbeitungen,commands.rs,D-3,Grundprodukte,CRUD,distinct_verarbeitungen,R,wawi_gp_v2,0,0,0,,MVP,0,,"Result<Vec<String>, String>"
ai_infer_fertigungstiefe,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,fertigungstiefe,R,recipe_ingredients;recipes;wawi_gp_v2,1,1,0,GL-06;GL-07,MVP,1,"limiter: State<GeminiRateLimiter>, recipe_id: i64","Result<FertigungstiefeSuggestion, String>"
ai_fill_template,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,fill_template,R,recipe_ingredients;recipes;vocab_einheit;wawi_gp_v2,1,0,0,GL-07,MVP,1,"limiter: State<GeminiRateLimiter>, template_recipe_id: i64, variant: String, diaet_tags: Option<Vec<String>>, niveau: Option<String>","Result<Vec<crate::models::TemplateSlotFill>, String>"
ai_suggest_geschmacksrichtung,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,geschmacksrichtung,W,recipe_hauptgruppen;recipe_ingredients;recipe_kategorien;recipes;wawi_gp_v2,1,1,0,GL-06;GL-07,MVP,1,"limiter: State<GeminiRateLimiter>, recipe_id: i64","Result<GeschmacksrichtungSuggestion, String>"
ai_suggest_gp,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp,R,,1,1,0,GL-06;GL-07,MVP,0,"limiter: State<GeminiRateLimiter>, la_text: String","Result<GpSuggestion, String>"
create_gp,commands.rs,D-3,Grundprodukte,CRUD,gp,W,wawi_gp_v2,0,0,0,,MVP,0,"limiter: State<GeminiRateLimiter>, input: GpInput","Result<i64, String>"
delete_gp,commands.rs,D-3,Grundprodukte,CRUD,gp,W,recipe_ingredients;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,gp_v2_id: i64,"Result<(), String>"
get_gp,commands.rs,D-3,Grundprodukte,CRUD,gp,R,suppliers;vocab_einheit;vocab_food_domain;wawi_gp_secondary_food_domains;wawi_gp_v2,0,0,0,,MVP,0,gp_v2_id: i64,"Result<GpDetail, String>"
update_gp,commands.rs,D-3,Grundprodukte,CRUD,gp,R,recipe_ingredients;wawi_gp_v2,0,0,0,,MVP,0,"gp_v2_id: i64, input: GpInput","Result<(), String>"
get_gp_aggregated_allergens,commands.rs,D-3,Grundprodukte,CRUD,gp_aggregated_allergens,R,allergens;wawi_gp_v2;wawi_la_structured,0,0,0,GL-01,MVP,0,gp_v2_id: i64,"Result<GpAggregatedAllergens, String>"
get_gp_aggregated_nutritional,commands.rs,D-3,Grundprodukte,CRUD,gp_aggregated_nutritional,R,nutritional;wawi_la_structured,0,0,0,GL-08,MVP,0,gp_v2_id: i64,"Result<GpAggregatedNutritional, String>"
get_gp_aggregated_zusatzstoffe,commands.rs,D-3,Grundprodukte,CRUD,gp_aggregated_zusatzstoffe,R,declarations;wawi_la_structured,0,0,0,GL-09,MVP,0,gp_v2_id: i64,"Result<GpAggregatedZusatzstoffe, String>"
accept_gp_allergens,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_allergens,W,ai_call_log;recipe_ingredients;wawi_gp_v2,0,0,0,GL-01;GL-07,MVP,0,input: AcceptAllergenInput,"Result<AcceptAllergenResult, String>"
ai_infer_gp_allergens,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_allergens,R,allergens;wawi_gp_v2;wawi_la_structured,1,1,0,GL-01;GL-06;GL-07,MVP,0,"limiter: State<GeminiRateLimiter>, gp_v2_id: i64","Result<AllergenSuggestion, String>"
clear_gp_allergens,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_allergens,R,lookup_country;recipe_ingredients;supplier_items;wawi_gp_v2;wawi_la_structured,0,0,0,GL-01;GL-07,MVP,0,gp_v2_id: i64,"Result<AcceptAllergenResult, String>"
reject_gp_allergens,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_allergens,W,ai_call_log,0,0,0,GL-01;GL-07,MVP,0,call_log_id: i64,"Result<(), String>"
delete_gp_count_unit,commands.rs,D-3,Grundprodukte,CRUD,gp_count_unit,W,wawi_gp_count_unit_defaults,0,0,0,,MVP,0,id: i64,"Result<(), String>"
set_gp_count_unit,commands.rs,D-3,Grundprodukte,CRUD,gp_count_unit,W,wawi_gp_count_unit_defaults;wawi_gp_v2,0,0,0,,MVP,0,input: SetGpCountUnitInput,"Result<i64, String>"
ai_suggest_gp_count_units,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_count_units,R,vocab_einheit;wawi_gp_v2,1,1,0,GL-06;GL-07,MVP,0,"limiter: State<GeminiRateLimiter>, gp_v2_id: i64","Result<GpCountUnitSuggestion, String>"
list_gp_count_units,commands.rs,D-3,Grundprodukte,CRUD,gp_count_units,R,recipe_ingredients;vocab_einheit;wawi_gp_count_unit_defaults,0,0,0,,MVP,0,gp_v2_id: i64,"Result<Vec<GpCountUnit>, String>"
accept_gp_domain,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_domain,W,ai_call_log;vocab_food_domain;wawi_gp_secondary_food_domains;wawi_gp_v2,0,0,0,GL-07,MVP,0,input: AcceptGpDomainInput,"Result<AcceptGpDomainResult, String>"
ai_infer_gp_domain,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_domain,R,vocab_food_domain;wawi_gp_v2,1,1,0,GL-06;GL-07,MVP,0,"limiter: State<GeminiRateLimiter>, gp_v2_id: i64","Result<GpDomainSuggestion, String>"
clear_gp_domain,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_domain,W,wawi_gp_secondary_food_domains;wawi_gp_v2,0,0,0,GL-07,MVP,0,gp_v2_id: i64,"Result<AcceptGpDomainResult, String>"
reject_gp_domain,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_domain,W,ai_call_log,0,0,0,GL-07,MVP,0,call_log_id: i64,"Result<(), String>"
get_gp_linked_las,commands.rs,D-3,Grundprodukte,CRUD,gp_linked_las,R,lookup_unit;supplier_items;suppliers;v_active_prices;wawi_gp_v2;wawi_la_structured,0,0,0,,MVP,0,gp_v2_id: i64,"Result<Vec<GpLinkedLa>, String>"
set_gp_status,commands.rs,D-3,Grundprodukte,CRUD,gp_status,R,wawi_gp_v2,0,0,0,,MVP,0,"gp_v2_id: i64, status: String, reviewer_note: Option<String>","Result<(), String>"
accept_gp_suggestion,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_suggestion,W,ai_call_log;wawi_gp_v2;wawi_la_structured,0,0,0,GL-07,MVP,0,input: AcceptGpSuggestionInput,"Result<i64, String>"
reject_gp_suggestion,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_suggestion,W,ai_call_log;allergens;supplier_items;wawi_la_structured,0,0,0,GL-07,MVP,0,call_log_id: i64,"Result<(), String>"
accept_gp_tags,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_tags,W,ai_call_log;wawi_gp_v2,0,0,0,GL-07,MVP,0,input: AcceptGpTagsInput,"Result<AcceptGpTagsResult, String>"
ai_infer_gp_tags,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_tags,R,wawi_gp_v2,1,1,0,GL-06;GL-07,MVP,0,"limiter: State<GeminiRateLimiter>, gp_v2_id: i64","Result<GpTagSuggestion, String>"
clear_gp_tags,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_tags,R,wawi_gp_v2,0,0,0,GL-07,MVP,0,gp_v2_id: i64,"Result<AcceptGpTagsResult, String>"
reject_gp_tags,commands.rs,D-3,Grundprodukte,KI-Lebenszyklus,gp_tags,W,ai_call_log,0,0,0,GL-07,MVP,0,call_log_id: i64,"Result<(), String>"
